Word	Freq
die	180524
van	81700
en	65227
in	46815
is	46279
te	36746
word	35998
wat	33824
om	29582
of	26809
nie	26016
vir	25821
het	21348
moet	18880
op	17600
met	16627
aan	15537
dit	15051
as	15004
kan	14376
dat	13443
ons	13439
sal	13405
deur	11794
fn	10042
by	9382
jy	9237
hierdie	8806
se	8496
u	8236
hulle	7845
tot	7499
jou	7122
oor	6648
na	6586
ook	6238
ek	6074
sy	6009
af	5841
daar	5704
enige	5391
indien	5058
txt	5018
ander	4922
wees	4715
paragraaf	4674
jaar	4350
gebruik	4237
gov-za	4110
soos	4079
departement	3962
uit	3845
waar	3834
maak	3794
aangeteken	3777
was	3754
kyk	3730
mense	3713
n	3697
so	3617
meer	3608
doen	3550
onbekende	3397
akroniem	3387
woordelys	3385
staatstaal	3382
alle	3316
persoon	3197
ten	3182
wet	3164
aansoek	3119
hy	3101
a	3040
werk	3013
nasionale	2983
elke	2975
maar	2891
my	2861
wanneer	2809
hoe	2803
inligting	2776
een	2717
vra	2715
provinsiale	2657
baie	2500
gov	2477
raad	2446
regering	2412
vrae	2364
gaan	2307
al	2302
haar	2302
nuwe	2289
teen	2270
capegateway	2263
deel	2261
suid-afrika	2258
b	2237
questions	2230
mag	2220
dié	2214
r	2157
kry	2138
wil	2111
kinders	2095
onder	2020
hul	2016
ingevolge	2009
betaal	1996
ontvang	1993
stel	1959
artikel	1954
binne	1922
neem	1874
wes-kaap	1868
grond	1865
beskikbaar	1828
ontwikkeling	1822
miv	1806
nodig	1770
toe	1763
gee	1757
besonderhede	1748
openbare	1748
plaaslike	1746
net	1733
dienste	1732
c	1660
vorm	1641
bestuur	1639
geen	1619
voor	1610
opsigte	1603
watter	1570
verseker	1551
betrokke	1548
twee	1541
daardie	1529
gedoen	1524
eerste	1515
provinsie	1512
diens	1490
lede	1489
e	1476
tussen	1471
landbou	1470
byvoorbeeld	1458
saam	1450
nog	1448
begin	1447
hou	1442
water	1431
gemaak	1424
finansiële	1390
kind	1389
slegs	1375
aansoeker	1371
suid-afrikaanse	1366
hê	1362
wie	1361
laat	1347
kom	1342
d	1337
land	1332
per	1332
inkomste	1323
bepaal	1312
tyd	1306
voorsien	1283
staat	1278
reg	1277
groot	1269
ja	1249
verskaf	1246
help	1235
nou	1199
sê	1199
voordat	1184
munisipaliteit	1178
datum	1163
geld	1163
gedurende	1147
egter	1130
gevolg	1130
behoort	1129
toegang	1121
bedrag	1110
daarvan	1108
besluit	1106
toepassing	1099
drie	1096
dan	1087
tydens	1084
volgende	1077
regte	1076
sonder	1075
sodanige	1070
einde	1064
minister	1062
moontlik	1050
waarop	1037
verbeter	1035
hof	1027
volgens	1027
ekonomiese	1014
tydperk	1010
gemeenskap	1008
geval	1007
almal	1001
sluit	1001
vigs	999
plaas	997
gebied	991
omdat	986
vroue	985
lid	984
